MODULE	introduce	students	the	key	issues	when	designing	and	world	web	design	comp	code	immediate	prerequisites	knowledge	technical	principles	functions	structure	user	for	using	graphics	online	computer	science	software	basic	data	structures	algorithms	which	modern	engineering	these	course	also	algorithmics	required	common	time	complexity	how	object	oriented	methods	skills	appropriate	particular	problem	understand	important	evaluate	strategy	solve	subject	have	programs	java	simple	use	build	complex	transferable	problems	introduction	aims	programming	approach	them	with	study	used	language	including	range	analyse	model	generic	practical	process	machine	computational	thinking	development	testing	what	applications	from	solution	give	fundamentals	main	their	some	digital	covered	experience	based	systems	describe	components	between	modules	features	level	architecture	evolution	advanced	operating	explain	role	database	information	management	tools	techniques	develop	system	line	working	its	modelling	application	support	apply	relationship	make	new	languages	create	environment	processes	other	scripting	aim	fundamental	professional	they	are	provide	opportunity	individual	learning	that	computing	domains	concepts	more	topics	within	topic	areas	identify	critically	business	different	aspects	communicate	work	approaches	project	planning	practice	open	organisations	explore	context	about	technologies	research	communication	set	real	together	network	but	view	developing	large	current	variety	requirements	standards	strategies	technology	platforms	theoretical	examples	future	such	mathematical	foundations	formal	present	not	solving	theory	sets	analysis	case	coursework	models	patterns	select	implementing	solutions	state	teams	high	your	groups	leaders	social	interaction	group	part	implementation	databases	security	verification	implement	accessible	networks	distributed	cloud	commercial	networking	both	etc	general	non	all	underlying	broad	field	artificial	intelligence	intelligent	processing	iii	there	critical	has	human	gives	embedded	challenges	can	cyber	society	biometrics	serious	games	game	vision	many	biology	generation	msc	secure	introduces	dtc	simulation	agents	automated	semantic	finance	innovation	usable	qualitative	assessing	visualisation	mining
COMP1056: Web Design	1	1	8	1	4	2	1	5	4	9	4	1	1	1	2	2	2	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
COMP1201: Algorithmics	0	0	12	1	0	0	0	8	0	0	0	3	3	1	1	3	0	1	0	2	0	4	2	0	0	2	1	4	1	11	9	7	2	1	2	1	1	1	1	1	1	1	1	2	1	1	1	3	2	1	2	2	1	1	1	2	1	1	1	1	1	1	1	2	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
COMP1202: Programming I	1	1	12	0	0	0	1	19	0	1	2	12	1	1	2	2	0	1	0	0	0	1	1	0	0	1	1	1	2	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	3	3	2	2	0	0	2	0	0	0	0	0	2	0	1	3	2	3	0	0	1	0	0	1	7	2	1	1	2	1	1	3	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
COMP1203: Computer Systems I	0	1	10	0	0	0	0	10	0	0	0	2	1	1	2	0	0	1	1	1	0	1	0	0	0	5	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	2	0	0	0	3	0	0	0	0	1	0	1	0	1	0	0	0	0	0	2	2	2	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	3	2	1	2	1	1	2	4	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
COMP1204: Data Management	2	2	14	0	0	0	0	16	0	0	1	1	1	1	2	2	0	0	0	1	0	1	1	0	0	0	0	2	1	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	1	0	0	0	0	5	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	1	1	2	3	2	3	7	1	3	3	1	1	2	1	1	1	1	1	2	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
COMP1205: Professional Development	0	2	16	2	8	0	0	26	0	0	1	1	1	1	2	3	2	0	0	0	0	2	0	0	1	1	0	0	0	0	1	0	2	0	0	1	0	0	0	0	0	1	0	1	0	0	0	5	3	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	2	0	3	0	0	0	1	1	0	0	0	0	0	0	0	0	3	0	0	0	2	0	0	0	1	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	0	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	1	7	1	2	1	1	2	3	2	1	1	1	1	1	1	1	1	1	3	1	2	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
COMP1206: Programming 2	1	1	4	0	0	0	0	3	0	0	0	7	1	1	1	0	0	0	0	0	5	2	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	5	0	4	0	0	0	0	0	0	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
COMP1208: Business Information Systems	0	0	6	0	0	0	0	13	0	0	0	1	1	1	2	2	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	1	0	0	0	2	0	1	0	0	0	0	0	0	3	0	0	0	0	1	8	0	0	1	0	0	0	0	0	0	0	1	1	0	10	0	0	0	0	2	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	2	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
COMP1209: System Design	0	0	15	0	0	0	0	13	1	0	4	1	1	1	2	2	0	0	0	0	0	2	1	0	0	0	0	9	0	1	0	0	0	0	5	1	1	0	0	0	0	0	0	2	0	0	0	0	0	1	2	2	1	1	0	1	1	0	1	0	1	1	0	1	0	1	0	0	0	3	1	1	0	1	1	2	0	1	1	0	0	1	0	0	1	0	2	0	0	0	0	0	0	0	0	3	0	0	0	0	7	1	0	0	1	0	2	0	0	0	0	1	0	0	1	0	1	2	0	6	0	0	0	3	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	3	2	0	0	0	1	0	0	0	0	0	0	1	0	0	3	0	0	0	0	0	1	0	1	1	0	0	0	3	2	3	1	1	1	1	2	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
COMP1214: Systems & Platforms	0	0	3	0	0	0	0	10	1	0	3	1	1	1	2	2	0	3	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	1	1	0	0	0	0	3	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	1	0	0	0	1	0	0	0	0	6	1	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
